start,end,q,old_bound,c_bound,old_margin,shell,shell_margin,combined_margin,total_base_candidates,total_critical_roots,total_candidates,shell_base_candidates,shell_midpoint_candidates,shell_total_candidates,shell_monotonicity_certificate
1000000,1010000,0.95,1.2986126175335024,1.7799128156066808,0.3923045572928443,0.16478532657149966,0.03521467342850035,0.4275192307213447,44240,0,44240,10001,0,10001,piecewise decreasing between activation/floor endpoints
1010000,1020000,0.95,1.2656775935562476,1.6405790661209443,0.29287251925864943,0.1698910907504115,0.030108909249588506,0.32298142850823797,44360,0,44360,10001,0,10001,piecewise decreasing between activation/floor endpoints
1020000,1030000,0.95,1.4541484917065184,1.7113885926909431,0.17167067134987746,0.1945532618827857,0.0054467381172143,0.17711740946709176,44761,0,44761,10001,0,10001,piecewise decreasing between activation/floor endpoints
1030000,1040000,0.95,1.182149448782734,1.6029564617069416,0.34065918983886045,0.1656793534333219,0.034320646566678104,0.37497983640553856,45130,0,45130,10001,0,10001,piecewise decreasing between activation/floor endpoints
1040000,1050000,0.95,1.267649108200633,1.7051853764491225,0.3522769994260333,0.18883549521740134,0.011164504782598672,0.36344150420863197,45349,0,45349,10001,0,10001,piecewise decreasing between activation/floor endpoints
1050000,1060000,0.95,1.5851214767594004,2.0626564693118543,0.3744021690868611,0.21572291518512424,-0.015722915185124225,0.3586792539017368,45523,0,45523,10001,0,10001,piecewise decreasing between activation/floor endpoints
1060000,1070000,0.95,1.2400307497388412,1.5256959262324972,0.2093803801820311,0.16075467264645943,0.03924532735354058,0.24862570753557167,45927,0,45927,10001,0,10001,piecewise decreasing between activation/floor endpoints
1070000,1080000,0.95,1.2149772287071705,1.4856910574736752,0.196429275892821,0.16427597105140934,0.03572402894859067,0.23215330484141167,46151,0,46151,10001,0,10001,piecewise decreasing between activation/floor endpoints
1080000,1090000,0.95,1.525939177494276,1.6943405675245813,0.08368436165407611,0.1949747413560147,0.005025258643985314,0.08870962029806143,46392,0,46392,10001,0,10001,piecewise decreasing between activation/floor endpoints
1090000,1100000,0.95,1.2330482614462739,1.6543440982687232,0.33857863190901316,0.17989494324188116,0.020105056758118856,0.358683688667132,46503,0,46503,10001,0,10001,piecewise decreasing between activation/floor endpoints
