start,end,block,bound_norm,sample_norm,sample_x
1000000,1010000,200,1.78985395110246,1.7421752279302347,1008000
1010000,1020000,200,1.6478287664748905,0.8744344157591699,1014000
1020000,1030000,200,1.7225999262202467,0.9156454927024643,1026000
1030000,1040000,200,1.6103766888912785,0.9146202217489929,1032000
1040000,1050000,200,1.7151175750059515,0.8594665101481639,1044000
1050000,1060000,200,2.074160992172664,0.8716803767533033,1056000
1060000,1070000,200,1.534631997281474,1.0377853212973254,1066000
1070000,1080000,200,1.488411049281493,1.1781601184775825,1080000
1080000,1090000,200,1.7014947542502585,1.2000165146656063,1089000
1090000,1100000,200,1.662654243395702,0.9200311560447617,1092000
