start,end,q,old_bound,c_bound,old_margin,shell,shell_margin,combined_margin
1000000,1010000,0.91,1.2986126175335024,1.7799128156066808,0.32110804466857723,0.16478532657149966,0.03521467342850035,0.3563227180970776
1010000,1020000,0.91,1.2656775935562476,1.6405790661209443,0.22724935661381163,0.1698910907504115,0.030108909249588506,0.25735826586340016
1020000,1030000,0.91,1.4541484917065184,1.7113885926909431,0.10321512764223995,0.1945532618827857,0.0054467381172143,0.10866186575945425
1030000,1040000,0.91,1.182149448782734,1.6029564617069416,0.2765409313705829,0.1656793534333219,0.034320646566678104,0.310861577937261
1040000,1050000,0.91,1.267649108200633,1.7051853764491225,0.2840695843680685,0.18883549521740134,0.011164504782598672,0.2952340891506672
1050000,1060000,0.91,1.5851214767594004,2.0626564693118543,0.291895910314387,0.21572291518512424,-0.015722915185124225,0.27617299512926274
1060000,1070000,0.91,1.2400307497388412,1.5256959262324972,0.14835254313273127,0.16075467264645943,0.03924532735354058,0.18759787048627186
1070000,1080000,0.91,1.2149772287071705,1.4856910574736752,0.13700163359387396,0.16427597105140934,0.03572402894859067,0.17272566254246463
1080000,1090000,0.91,1.525939177494276,1.6943405675245813,0.01591073895309303,0.1949747413560147,0.005025258643985314,0.020935997597078343
1090000,1100000,0.91,1.2330482614462739,1.6543440982687232,0.27240486797826424,0.17989494324188116,0.020105056758118856,0.2925099247363831
