start,end,q,old_bound,c_bound,old_margin,shell,shell_margin,combined_margin,total_base_candidates,total_critical_roots,total_candidates,shell_base_candidates,shell_midpoint_candidates,shell_total_candidates,shell_monotonicity_certificate
1300000,1310000,0.91,1.1936170135509183,1.5967162952397915,0.259394815117292,0.1719357133942041,0.028064286605795907,0.2874591017230879,49607,0,49607,10001,0,10001,piecewise decreasing between activation/floor endpoints
1310000,1320000,0.91,1.2438379635717447,1.6111194048753203,0.22228069486479685,0.1657534016567055,0.03424659834329452,0.25652729320809137,49669,0,49669,10001,0,10001,piecewise decreasing between activation/floor endpoints
1320000,1330000,0.91,1.1260281308909919,1.428427617885224,0.17384100138456193,0.17028793314064117,0.029712066859358843,0.20355306824392078,49857,0,49857,10001,0,10001,piecewise decreasing between activation/floor endpoints
1330000,1340000,0.91,1.5538579005093414,2.119766542757813,0.3751296534002686,0.20039603504304948,-0.0003960350430494697,0.37473361835721913,49933,0,49933,10001,0,10001,piecewise decreasing between activation/floor endpoints
1340000,1350000,0.91,0.9510157197768941,1.2737505413166426,0.20809727282125057,0.13188766674586824,0.06811233325413177,0.27620960607538236,49892,0,49892,10001,0,10001,piecewise decreasing between activation/floor endpoints
1350000,1360000,0.91,1.0868350707351013,1.632793541703644,0.39900705221521493,0.1683385001611313,0.031661499838868706,0.4306685520540836,50093,0,50093,10001,0,10001,piecewise decreasing between activation/floor endpoints
1360000,1370000,0.91,1.5593535277365551,1.9104205699088253,0.17912919088047596,0.20965654404818784,-0.009656544048187832,0.16947264683228813,50164,0,50164,10001,0,10001,piecewise decreasing between activation/floor endpoints
1370000,1380000,0.91,1.291332267170368,1.6769521468367312,0.23469418645105744,0.1654686890094322,0.034531310990567804,0.26922549744162527,50413,0,50413,10001,0,10001,piecewise decreasing between activation/floor endpoints
1380000,1390000,0.91,1.2295680513970932,1.4677266011596937,0.1060631556582281,0.13604471513175187,0.06395528486824814,0.17001844052647624,50363,0,50363,10001,0,10001,piecewise decreasing between activation/floor endpoints
1390000,1400000,0.91,1.3840831362397759,1.7348035679635552,0.1945881106070595,0.19291717243221418,0.007082827567785832,0.20167093817484533,50313,0,50313,10001,0,10001,piecewise decreasing between activation/floor endpoints
1400000,1410000,0.91,1.0460723022590523,1.457113806339192,0.27990126150961236,0.15452188107535753,0.045478118924642486,0.32537938043425485,50550,0,50550,10001,0,10001,piecewise decreasing between activation/floor endpoints
1410000,1420000,0.91,1.3308301594322438,1.7816418772525764,0.29046394886760085,0.18157696019918784,0.01842303980081217,0.308886988668413,50604,0,50604,10001,0,10001,piecewise decreasing between activation/floor endpoints
1420000,1430000,0.91,1.2570700573249225,1.698693854559983,0.2887413503246621,0.1714469702308912,0.028553029769108812,0.31729438009377087,50546,0,50546,10001,0,10001,piecewise decreasing between activation/floor endpoints
1430000,1440000,0.91,1.4880250030284525,1.8226754493337438,0.17060965586525434,0.190519368578847,0.009480631421153018,0.18009028728640736,50763,0,50763,10001,0,10001,piecewise decreasing between activation/floor endpoints
1440000,1450000,0.91,1.6154846198196269,2.1213565967068515,0.31494988318360795,0.21375682244480634,-0.013756822444806333,0.3011930607388016,50938,0,50938,10001,0,10001,piecewise decreasing between activation/floor endpoints
1450000,1460000,0.91,1.254915199796333,1.5116356092293324,0.12067320460235953,0.17171464629294092,0.02828535370705909,0.14895855830941862,51064,0,51064,10001,0,10001,piecewise decreasing between activation/floor endpoints
1460000,1470000,0.91,1.142801620405802,1.45990861908675,0.1857152229631407,0.14686160485890534,0.05313839514109467,0.23885361810423536,51224,0,51224,10001,0,10001,piecewise decreasing between activation/floor endpoints
1470000,1480000,0.91,1.4956003906440416,1.7346428646082257,0.08292461614944391,0.1989001280419564,0.001099871958043619,0.08402448810748753,51410,0,51410,10001,0,10001,piecewise decreasing between activation/floor endpoints
1480000,1490000,0.91,1.200957850050398,1.5572832910716998,0.21616994482484908,0.159700947911803,0.04029905208819701,0.2564689969130461,51716,0,51716,10001,0,10001,piecewise decreasing between activation/floor endpoints
1490000,1500000,0.91,1.2239551370821415,1.4842187001638827,0.12668388006699183,0.14119145834651636,0.05880854165348365,0.18549242172047548,52080,0,52080,10001,0,10001,piecewise decreasing between activation/floor endpoints
