start,end,q,old_bound,c_bound,old_margin,shell,shell_margin,combined_margin,total_base_candidates,total_critical_roots,total_candidates
1100000,1110000,0.91,1.588934320531358,2.179908424891784,0.3947823461201656,0.2129946734418478,-0.012994673441847793,0.3817876726783178,46652,0,46652
1110000,1120000,0.91,1.5021245764023754,1.8084976470656235,0.14360828242734214,0.19621424259302536,0.003785757406974649,0.1473940398343168,47039,0,47039
1120000,1130000,0.91,1.2117039777363854,1.689149650969986,0.3254222046463018,0.18105875793004372,0.018941242069956288,0.34436344671625807,47187,0,47187
1130000,1140000,0.91,1.458650203760242,1.7501258530984274,0.133964322559327,0.18650545447250597,0.013494545527494045,0.14745886808682104,47256,0,47256
1140000,1150000,0.91,1.2404572707011328,1.733655711174255,0.3371694264674394,0.16254871571621252,0.037451284283787495,0.37462071075122694,47514,0,47514
1150000,1160000,0.91,1.2862746653780324,1.4903489455509022,0.06994287507328867,0.15248162382294095,0.04751837617705906,0.11746125125034773,47614,0,47614
1160000,1170000,0.91,1.675329743171275,2.011253602163183,0.15491103479722135,0.20231962223035976,-0.0023196222303597525,0.1525914125668616,47693,0,47693
1170000,1180000,0.91,1.5266387791117138,2.1233797707916686,0.40563681230870485,0.21467429338790064,-0.014674293387900633,0.39096251892080425,47787,0,47787
1180000,1190000,0.91,1.224464079355011,1.5482977890792957,0.18448690870714812,0.1768709139207347,0.02312908607926531,0.20761599478641343,48104,0,48104
1190000,1200000,0.91,1.4298149358611687,1.6651067108421485,0.08543217100518641,0.19058312642211808,0.009416873577881929,0.09484904458306834,48112,0,48112
