start,end,q,old_bound,c_bound,old_margin,shell,shell_margin,combined_margin
1100000,1110000,0.91,1.5975610855457378,2.175592180669334,0.3822277988633562,0.2129946734418478,-0.012994673441847793,0.36923312542150843
1110000,1120000,0.91,1.4794626899179923,1.7737898561415544,0.1346860791708222,0.19621424259302536,0.003785757406974649,0.13847183657779685
1120000,1130000,0.91,1.2130042522319853,1.6961539093566034,0.33049580528252376,0.18105875793004372,0.018941242069956288,0.34943704735248005
1130000,1140000,0.91,1.4232721509001784,1.6865861394628203,0.11152123601098807,0.18650545447250597,0.013494545527494045,0.1250157815384821
1140000,1150000,0.91,1.1713981370353026,1.6843826583154247,0.36139008203173395,0.16254871571621252,0.037451284283787495,0.3988413663155215
1150000,1160000,0.91,1.2169461993144113,1.4606040851129392,0.11220351813836338,0.15248162382294095,0.04751837617705906,0.15972189431542244
1160000,1170000,0.91,1.666955531614812,1.9768475371317893,0.1319757271751163,0.20231962223035976,-0.0023196222303597525,0.12965610494475655
1170000,1180000,0.91,1.5210383422667415,2.1194254013386944,0.40763877295147055,0.21467429338790064,-0.014674293387900633,0.39296447956356995
1180000,1190000,0.91,1.1618718941144222,1.4975505682595651,0.20089912300178225,0.1768709139207347,0.02312908607926531,0.22402820908104756
1190000,1200000,0.91,1.392761887069036,1.6038730576737448,0.06676259541407181,0.19058312642211808,0.009416873577881929,0.07617946899195374
