# sieving primes up to 2251500
# loaded 166169 primes up to 2251500
# P	|E(P)|	P-1	|E|/P	|E|*logP/P	max_row	row_mean
809	0	808	0.0000	0.0000	115	65.6139
811	0	810	0.0000	0.0000	116	65.7481
821	0	820	0.0000	0.0000	117	66.4293
823	0	822	0.0000	0.0000	116	66.5633
827	0	826	0.0000	0.0000	115	66.8426
829	0	828	0.0000	0.0000	115	66.9771
839	0	838	0.0000	0.0000	117	67.6492
853	0	852	0.0000	0.0000	119	68.6162
857	0	856	0.0000	0.0000	119	68.8843
859	0	858	0.0000	0.0000	118	69.0245
863	0	862	0.0000	0.0000	119	69.2715
877	0	876	0.0000	0.0000	122	70.2272
881	0	880	0.0000	0.0000	122	70.4886
883	0	882	0.0000	0.0000	121	70.6247
887	0	886	0.0000	0.0000	120	70.8962
907	0	906	0.0000	0.0000	125	72.2528
911	0	910	0.0000	0.0000	124	72.5275
919	0	918	0.0000	0.0000	125	73.0643
929	0	928	0.0000	0.0000	125	73.7284
937	0	936	0.0000	0.0000	128	74.2628
941	0	940	0.0000	0.0000	129	74.5330
947	0	946	0.0000	0.0000	129	74.9376
953	0	952	0.0000	0.0000	129	75.3330
967	0	966	0.0000	0.0000	132	76.2733
971	0	970	0.0000	0.0000	131	76.5309
977	0	976	0.0000	0.0000	132	76.9170
983	0	982	0.0000	0.0000	131	77.3075
991	0	990	0.0000	0.0000	132	77.8253
997	0	996	0.0000	0.0000	133	78.2048
1009	0	1008	0.0000	0.0000	137	79.0288
1013	0	1012	0.0000	0.0000	136	79.3043
1019	0	1018	0.0000	0.0000	137	79.6925
1021	0	1020	0.0000	0.0000	137	79.8196
1031	0	1030	0.0000	0.0000	137	80.4437
1033	0	1032	0.0000	0.0000	137	80.5814
1039	0	1038	0.0000	0.0000	137	80.9788
1049	0	1048	0.0000	0.0000	140	81.6517
1051	0	1050	0.0000	0.0000	140	81.7810
1061	0	1060	0.0000	0.0000	141	82.4472
1063	0	1062	0.0000	0.0000	140	82.5838
1069	0	1068	0.0000	0.0000	142	82.9700
1087	0	1086	0.0000	0.0000	145	84.1915
1091	0	1090	0.0000	0.0000	145	84.4596
1093	0	1092	0.0000	0.0000	144	84.5916
1097	0	1096	0.0000	0.0000	143	84.8394
1103	0	1102	0.0000	0.0000	143	85.2241
1109	0	1108	0.0000	0.0000	144	85.6101
1117	0	1116	0.0000	0.0000	144	86.1183
1123	0	1122	0.0000	0.0000	146	86.5187
1129	0	1128	0.0000	0.0000	146	86.9229
1151	0	1150	0.0000	0.0000	152	88.3470
1153	0	1152	0.0000	0.0000	151	88.4688
1163	0	1162	0.0000	0.0000	152	89.1059
1171	0	1170	0.0000	0.0000	154	89.6299
1181	0	1180	0.0000	0.0000	156	90.2780
